x,y,z,depth,time
11.436,-7.223,-2.643,0.029999999999999714,1431531272
10.719,-8.698,-2.1,0.05,1431531273
12.206,-5.239,-3.341,0.029999999999999714,1431531277
12.34,-5.489,-2.496,0.0,1431531278
12.426,-5.455,-1.56,0.0,1431531279
12.85,-4.883,-1.854,0.0,1431531281
13.669,-0.194,-2.372,0.0,1431531282
13.303,-3.542,-2.16,0.029999999999999714,1431531283
13.123,-3.615,-2.372,0.029999999999999714,1431531284
13.031,-5.582,-1.797,0.029999999999999714,1431531285
13.387,-3.279,-2.196,0.0,1431531286
13.739,-3.862,-2.419,0.029999999999999714,1431531287
13.81,-3.459,-2.233,0.029999999999999714,1431531288
12.297,-5.823,-2.093,0.029999999999999714,1431531289
13.732,-3.868,-2.57,0.0,1431531290
13.544,-5.69,-2.58,0.029999999999999714,1431531291
14.082,-5.508,-2.617,0.0,1431531293
12.988,-6.977,-2.391,0.05,1431531294
13.667,-5.641,-2.526,0.0,1431531295
13.013,-6.346,-2.32,0.029999999999999714,1431531296
13.501,-5.515,-2.462,0.029999999999999714,1431531300
13.348,-6.377,-2.316,0.029999999999999714,1431531301
14.434,-3.673,-2.072,0.029999999999999714,1431531302
14.306,-3.948,-2.234,0.05,1431531307
14.399,-1.57,-2.05,0.2299999999999997,1431531308
14.133,-3.621,-1.732,0.5200000000000002,1431531309
15.04,-0.14,-2.23,0.6200000000000003,1431531310
13.901,-4.031,-1.597,0.8799999999999997,1431531312
14.359,-2.329,0.01,0.9900000000000005,1431531313
12.789,-1.154,0.522,1.2700000000000002,1431531314
14.143,-1.198,-0.917,1.3700000000000003,1431531315
13.087,-2.535,-1.823,1.6099999999999994,1431531316
13.496,-3.312,-0.49,1.5,1431531317
13.488,-2.854,-1.745,1.3200000000000003,1431531318
13.483,-1.227,-2.437,1.4799999999999998,1431531319
14.001,-0.583,-1.307,1.6099999999999994,1431531320
13.748,-2.933,-1.155,1.6099999999999994,1431531321
13.722,-3.634,-0.963,1.5,1431531323
12.368,-6.45,-0.008,1.3700000000000003,1431531324
12.959,-4.285,-0.344,1.5,1431531325
13.31,-3.248,0.155,1.5799999999999996,1431531326
12.607,-3.36,-0.415,1.5599999999999994,1431531327
12.587,-3.806,-1.179,1.5299999999999998,1431531328
11.812,-5.758,0.163,1.5799999999999996,1431531329
13.063,-4.315,0.198,1.6099999999999994,1431531330
12.704,-3.132,-0.725,1.5799999999999996,1431531331
12.791,-3.144,-0.182,1.5599999999999994,1431531332
13.044,-3.569,-1.267,1.5599999999999994,1431531334
11.976,-4.37,0.32,1.5799999999999996,1431531335
13.844,-2.59,0.976,1.5799999999999996,1431531336
13.492,-3.053,-2.383,1.5799999999999996,1431531337
12.945,-1.591,-0.45,1.5599999999999994,1431531338
12.34,-3.006,-0.556,1.5599999999999994,1431531339
12.081,-4.46,0.01,1.6099999999999994,1431531340
12.567,-2.476,-0.23,1.5799999999999996,1431531344
12.616,-0.384,-1.25,1.5799999999999996,1431531345
12.223,-2.423,-0.02,1.6099999999999994,1431531347
12.855,-4.096,-0.571,1.6099999999999994,1431531348
12.651,-1.544,-0.737,1.5799999999999996,1431531349
12.277,-3.253,0.278,1.5799999999999996,1431531350
12.731,-2.439,0.098,1.5599999999999994,1431531351
12.875,-2.52,-0.991,1.5599999999999994,1431531352
13.009,-0.492,-1.646,1.5799999999999996,1431531353
12.634,0.889,-1.063,1.6099999999999994,1431531354
12.99,-1.098,-0.77,1.6299999999999997,1431531355
12.362,-1.324,-0.971,1.6299999999999997,1431531356
12.91,-1.526,-0.83,1.5799999999999996,1431531358
12.892,-1.193,-0.667,1.6099999999999994,1431531359
12.44,-1.79,-1.252,1.5799999999999996,1431531360
13.012,-2.464,-0.323,1.5799999999999996,1431531361
12.765,-3.012,-1.248,1.5799999999999996,1431531362
13.806,-2.834,-1.449,1.5799999999999996,1431531363
13.738,-1.056,-0.715,1.5599999999999994,1431531364
12.599,-0.089,-1.109,1.5799999999999996,1431531365
12.909,-1.552,-1.458,1.5599999999999994,1431531366
12.676,-3.059,-0.717,1.6099999999999994,1431531367
12.849,-1.476,-1.453,1.5799999999999996,1431531369
12.888,-0.051,-1.104,1.6099999999999994,1431531370
12.806,-0.604,-1.516,1.6099999999999994,1431531371
13.361,-1.003,-1.45,1.5799999999999996,1431531372
12.63,-3.478,-0.721,1.5799999999999996,1431531373
11.771,-5.316,-0.161,1.5799999999999996,1431531374
12.856,-2.62,-0.856,1.6099999999999994,1431531375
12.488,-4.201,-0.789,1.6099999999999994,1431531376
12.521,-4.056,-1.142,1.5599999999999994,1431531377
-0.834,6.8,11.353,1.5799999999999996,1431531379
13.497,-1.192,-1.679,1.5799999999999996,1431531380
12.945,-0.553,-0.98,1.5799999999999996,1431531381
12.798,-2.653,-0.666,1.5799999999999996,1431531382
13.298,-3.005,-0.244,1.6099999999999994,1431531383
12.414,-2.245,-0.951,1.6099999999999994,1431531384
12.585,-4.903,-1.043,1.5599999999999994,1431531385
12.751,-2.482,-0.696,1.5599999999999994,1431531386
13.749,-3.654,-2.554,1.5799999999999996,1431531387
12.878,-2.702,-1.368,1.5599999999999994,1431531388
12.7,-0.088,-1.279,1.6099999999999994,1431531390
13.051,0.603,-1.53,1.5799999999999996,1431531391
13.028,-1.683,-0.665,1.6099999999999994,1431531392
-6.161,2.447,11.637,1.6099999999999994,1431531393
12.919,-3.647,-1.292,1.5799999999999996,1431531394
12.776,-3.1,-0.575,1.5599999999999994,1431531395
12.577,-4.303,-0.644,1.5799999999999996,1431531396
12.57,0.244,-3.569,1.5599999999999994,1431531397
10.471,-1.362,-4.905,1.5599999999999994,1431531398
12.557,-1.547,-1.353,1.6099999999999994,1431531399
13.016,-2.869,-1.257,1.6099999999999994,1431531401
12.98,-3.794,-0.908,1.6099999999999994,1431531402
13.108,-3.331,-1.893,1.6099999999999994,1431531403
12.708,-1.423,-1.016,1.5599999999999994,1431531404
12.573,-2.07,-1.206,1.5799999999999996,1431531405
12.701,-3.873,-0.611,1.5799999999999996,1431531406
13.095,-3.944,-0.98,1.6099999999999994,1431531407
12.554,-2.89,-1.822,1.5799999999999996,1431531408
13.607,-3.265,-2.627,1.5599999999999994,1431531409
12.246,-4.153,-1.017,1.5799999999999996,1431531410
12.437,-4.077,-1.193,1.5799999999999996,1431531412
13.931,-1.127,-2.109,1.5599999999999994,1431531413
12.962,-3.539,-0.722,1.5799999999999996,1431531414
13.205,-1.877,-2.091,1.5599999999999994,1431531415
-6.169,5.255,10.709,1.5599999999999994,1431531416
12.212,-3.729,-2.937,1.5799999999999996,1431531417
12.835,-2.465,-1.223,1.6099999999999994,1431531418
12.688,-4.036,-0.857,1.5299999999999998,1431531419
12.308,-5.185,-0.888,1.5799999999999996,1431531420
13.56,-0.576,2.035,1.5799999999999996,1431531421
12.373,-1.147,-0.691,1.5599999999999994,1431531422
12.804,-3.575,-0.962,1.6099999999999994,1431531424
12.93,-2.798,-0.375,1.5599999999999994,1431531425
12.668,-2.798,-1.237,1.5299999999999998,1431531426
12.956,-2.426,-1.078,1.5599999999999994,1431531427
12.569,-1.39,-1.157,1.5599999999999994,1431531428
9.245,-2.351,-6.522,1.5299999999999998,1431531429
13.06,0.099,-1.787,1.5599999999999994,1431531430
11.951,-2.702,2.308,1.5799999999999996,1431531431
12.331,-3.507,-0.391,1.5299999999999998,1431531432
13.309,-4.517,-0.703,1.5799999999999996,1431531433
13.476,-1.777,-2.043,1.5,1431531435
11.453,-3.423,4.522,1.5,1431531436
12.935,-2.466,-0.812,1.4299999999999997,1431531437
13.168,-0.352,-0.676,1.3200000000000003,1431531438
12.915,0.273,-2.058,1.1700000000000004,1431531439
12.993,-0.056,-0.736,0.9599999999999994,1431531440
13.216,-0.607,-1.531,0.8299999999999997,1431531441
13.442,-1.611,-1.593,0.7799999999999997,1431531442
13.876,-0.653,-1.551,0.9900000000000005,1431531443
12.452,-0.791,0.914,1.1900000000000006,1431531444
13.277,-1.846,-2.132,1.2400000000000007,1431531446
13.101,-1.375,-2.356,1.1900000000000006,1431531447
13.751,-0.868,-1.899,1.1700000000000004,1431531448
12.804,-2.253,-0.618,1.0400000000000005,1431531449
12.682,0.045,-1.142,1.0400000000000005,1431531450
13.314,1.013,-0.865,0.9299999999999997,1431531451
13.156,1.38,-1.894,0.9299999999999997,1431531452
13.983,-0.303,-2.295,0.9599999999999994,1431531453
13.268,1.115,-1.797,0.9599999999999994,1431531454
13.32,0.966,-1.038,1.0400000000000005,1431531455
13.314,-1.489,-0.859,1.1200000000000003,1431531457
13.213,-2.543,-0.216,1.1400000000000006,1431531458
14.495,-0.512,-1.078,1.1400000000000006,1431531459
14.191,-0.426,-1.615,1.1400000000000006,1431531460
13.539,-1.831,-1.139,1.0900000000000005,1431531461
14.315,-0.468,-1.901,1.0099999999999993,1431531462
13.985,0.114,-2.223,0.9900000000000005,1431531463
14.097,-2.341,-1.27,0.8299999999999997,1431531464
14.756,-0.501,-1.346,0.8,1431531465
13.813,1.9,-0.847,0.7,1431531467
14.134,2.758,-3.492,0.9599999999999994,1431531468
14.812,0.353,-0.968,1.0400000000000005,1431531469
14.029,0.179,-2.258,1.0400000000000005,1431531470
14.082,-2.196,-2.315,1.0599999999999994,1431531471
14.321,-0.321,-1.324,1.0900000000000005,1431531472
14.14,-0.038,-1.093,1.1200000000000003,1431531473
14.267,1.675,-0.721,1.1200000000000003,1431531474
13.792,2.386,-1.471,1.1200000000000003,1431531475
13.382,0.008,-1.793,1.0400000000000005,1431531477
14.589,-1.866,-2.168,1.0400000000000005,1431531478
13.489,-3.807,-1.953,0.9900000000000005,1431531479
14.699,0.094,-1.794,0.8599999999999994,1431531480
14.745,-0.509,-0.5,0.8299999999999997,1431531481
14.326,-2.833,-1.656,1.0099999999999993,1431531486
14.281,-2.756,-1.696,1.0599999999999994,1431531487
13.426,-2.353,-0.893,1.0900000000000005,1431531488
13.372,0.385,0.557,1.0900000000000005,1431531489
13.737,-2.409,-1.648,1.0400000000000005,1431531490
